Algoritmo;Tamanho;Nanosegundos
InsertionSort;1000;292628
ShellSort;1000;43622
QuickSort;1000;55308
HeapSort;1000;117572
InsertionSort;2000;666422
ShellSort;2000;109298
QuickSort;2000;83466
HeapSort;2000;114990
InsertionSort;3000;1601514
ShellSort;3000;177928
QuickSort;3000;113692
HeapSort;3000;192532
InsertionSort;4000;2677068
ShellSort;4000;244644
QuickSort;4000;159624
HeapSort;4000;248270
InsertionSort;5000;4072096
ShellSort;5000;317268
QuickSort;5000;208994
HeapSort;5000;314090
InsertionSort;6000;5791054
ShellSort;6000;400724
QuickSort;6000;256496
HeapSort;6000;388732
InsertionSort;7000;7638766
ShellSort;7000;462332
QuickSort;7000;310450
HeapSort;7000;461666
InsertionSort;8000;10339814
ShellSort;8000;542232
QuickSort;8000;367854
HeapSort;8000;534716
InsertionSort;9000;12822128
ShellSort;9000;613920
QuickSort;9000;419228
HeapSort;9000;608942
InsertionSort;10000;16098916
ShellSort;10000;701816
QuickSort;10000;459176
HeapSort;10000;691406
